Current Time,Latitude,Longitude,Turbidity (NTU),Temperature (Â°C),Humidity (%),Litter dection,Litter Type
13:29:23,50.434412,-104.5489458,0.4776146733,26,22,0,NULL
13:29:56,50.434401,-104.549168,1.880855739,26,17,0,NULL
13:30:29,50.4343079,-104.549506,0.6582842494,25,20,0,NULL
13:31:01,50.434417,-104.549138,0.2539139988,25,17,1,can
13:31:34,50.4343668,-104.5483016,0.4239020966,24,21,0,NULL
13:32:07,50.434366,-104.5481394,0.4466383862,24,22,0,NULL
13:32:40,50.4337971,-104.5481474,0.3418073061,24,25,0,NULL
13:33:13,50.433393,-104.5481622,0.4347361675,24,28,0,NULL
13:33:46,50.4337243,-104.548145,0.2819910276,24,26,0,NULL
13:34:18,50.4335611,-104.5481477,0.2478102969,24,28,0,NULL
13:34:51,50.4330383,-104.5481302,0.2539139988,23,27,0,NULL
13:35:28,50.4328905,-104.5481182,0.3605761895,24,31,0,NULL
13:36:01,50.4326846,-104.5481504,0.4794457839,24,28,0,NULL
13:36:34,50.432536,-104.548145,0.6889553514,24,28,1,"can, bottle"
13:37:06,50.432537,-104.548146,0.8130130924,24,29,1,"can, bottle"
13:37:39,50.432537,-104.548146,0.7380901517,24,28,0,NULL
13:38:12,50.4316866,-104.5481769,0.7432782983,24,23,0,NULL
13:38:45,50.431258,-104.5470855,0.7538071841,24,31,0,NULL
13:39:18,50.4308719,-104.5462809,0.8136234626,24,28,0,NULL
13:39:50,50.4306395,-104.5456532,0.7948545793,24,23,0,NULL
13:40:23,50.430641,-104.545637,0.7721182897,24,27,1,bottle
13:40:56,50.430642,-104.545636,0.6578264718,24,27,0,NULL
13:41:29,50.4304515,-104.5452992,0.6538590655,24,27,0,NULL
13:42:02,50.4299321,-104.5441351,0.6363109226,24,27,0,NULL
13:42:34,50.4295426,-104.5433734,0.6318857387,24,27,0,NULL
13:43:07,50.4291427,-104.5425902,0.5946531571,24,24,0,NULL
13:43:40,50.4287497,-104.5413295,0.5290383618,24,23,0,NULL
13:44:13,50.428739,-104.540949,1.760765334,24,29,1,plastic cutlery
13:44:46,50.4287395,-104.5409446,0.4495376446,22,27,1,plastic cutlery
13:45:18,50.4287379,-104.540921,0.4358043153,23,29,0,NULL
13:45:51,50.4287378,-104.5409526,0.4832605976,23,27,0,NULL
13:46:24,50.4287361,-104.5409218,0.5238502152,23,27,0,NULL
13:46:57,50.4288318,-104.5402137,0.391399884,23,28,0,NULL
13:47:30,50.429194,-104.5394573,0.3685110019,23,27,0,NULL
13:48:02,50.4294417,-104.5392602,0.4939420759,23,28,0,NULL
13:48:35,50.4294366,-104.5392642,0.4869228187,23,25,0,NULL
13:49:08,50.42944,-104.539252,0.4974517045,23,28,0,NULL
13:49:41,50.42944,-104.539252,0.5418561357,23,27,0,NULL
13:50:14,50.4293785,-104.5384864,0.4953154088,23,29,0,NULL
13:50:46,50.4292692,-104.5378427,0.2539139988,23,28,0,NULL
13:51:19,50.4281654,-104.5354823,0.2868739891,23,23,0,NULL
13:51:52,50.427851,-104.533454,0.457167272,22,20,1,bottle
13:52:25,50.4278681,-104.533417,0.3083895383,22,19,0,NULL
13:52:58,50.4289992,-104.5311908,0.2600177007,22,19,0,NULL
13:53:30,50.4292794,-104.5289753,0.2600177007,22,21,0,NULL
13:54:03,50.429254,-104.527011,0.2600177007,22,20,0,NULL
13:54:36,50.4300415,-104.5262823,0.5616931669,23,18,0,NULL
13:55:09,50.431135,-104.5260195,0.5543687246,24,17,0,NULL
13:55:42,50.431308,-104.5260005,1.590463216,24,18,1,"plastic cutlery, bottle"
13:56:15,50.4313195,-104.525998,0.5609302042,24,17,1,"plastic cutlery, bottle"
13:56:47,50.4325155,-104.5263092,0.5870235298,24,20,0,NULL
13:57:20,50.4336465,-104.5262984,0.468611713,24,20,0,NULL
13:57:53,50.4342684,-104.5295063,0.3885006256,24,17,0,NULL
13:58:26,50.434757,-104.531171,0.2478102969,24,17,0,NULL
13:58:59,50.434757,-104.5311908,0.2493362224,24,20,0,NULL
13:59:31,50.4347536,-104.5311747,0.3804132206,24,18,0,NULL
14:00:04,50.4347553,-104.5311653,0.5362102115,24,16,0,NULL
14:00:37,50.4347553,-104.5311814,0.4591509751,24,16,0,NULL
14:01:10,50.4348826,-104.5317286,0.2600177007,24,16,0,NULL
14:01:43,50.4350859,-104.5324273,0.2600177007,24,16,0,NULL
14:02:15,50.4356189,-104.5343102,0.2600177007,25,16,0,NULL
14:02:48,50.4365791,-104.536751,0.2600177007,26,16,0,NULL
14:03:21,50.4372829,-104.5384032,0.2600177007,26,17,0,NULL
14:03:54,50.436333,-104.5394493,0.3971984008,26,15,0,NULL
14:04:27,50.435759,-104.5398141,0.4585406049,27,13,0,NULL
14:04:59,50.435735,-104.539836,0.2632221442,27,13,1,bottle
14:05:32,50.4355728,-104.5412866,0.2600177007,27,13,0,NULL
14:06:05,50.4362647,-104.5428933,0.2632221442,27,13,0,NULL
14:06:38,50.435991,-104.543224,0.2632221442,28,13,0,NULL
14:07:11,50.4351611,-104.5436255,0.2632221442,28,14,0,NULL
14:07:43,50.4355079,-104.5454279,0.4661702322,28,12,0,NULL
14:08:16,50.4355677,-104.5456479,0.4696798608,28,11,0,NULL
14:08:49,50.435595,-104.545674,1.677825438,27,12,0,NULL
14:09:22,50.4356873,-104.5466725,0.3299050874,26,14,0,NULL
14:09:55,50.4350227,-104.5469809,0.5423139134,26,13,0,NULL
14:10:27,50.4350688,-104.548086,0.2600177007,26,12,0,NULL
14:11:00,50.4344299,-104.5481209,0.2600177007,26,13,0,NULL
14:11:33,50.43442283,-104.549014,0.2600177007,26,12,0,NULL
14:12:06,50.4344205,-104.549012,0.2600177007,27,12,0,NULL
14:12:43,50.4344201,-104.54901,0.2600177007,27,12,0,NULL