Current Time,Latitude,Longitude,Sensor Reading
12:15:05,50.42187,-104.540792,0
12:15:35,50.422061,-104.540427,0
12:16:05,50.422328,-104.540051,0
12:16:35,50.422471,-104.539708,0
12:17:05,50.422567,-104.539354,0
12:17:35,50.422656,-104.538925,0
12:18:05,50.422683,-104.538463,0
12:18:35,50.422677,-104.53798,0
12:19:05,50.422501,-104.537424,0
12:19:35,50.422412,-104.537161,0
12:20:05,50.422323,-104.536935,0
12:20:35,50.422228,-104.536742,0
12:21:05,50.422108,-104.536485,0
12:21:35,50.421808,-104.53586,0
12:22:05,50.421665,-104.535559,0
12:22:35,50.421501,-104.535205,0
12:23:05,50.421337,-104.534873,0
12:23:35,50.421152,-104.534494,0
12:24:05,50.420974,-104.534129,0
12:24:35,50.420813,-104.533784,0
12:25:05,50.420675,-104.533516,0
12:25:35,50.420504,-104.533207,0
12:26:05,50.420425,-104.532993,0.9517
12:26:35,50.420285,-104.532773,0
12:27:05,50.420176,-104.532594,0
12:27:35,50.419997,-104.532306,0
12:28:05,50.419886,-104.532143,0
12:28:35,50.419727,-104.531976,0
12:29:05,50.419574,-104.531832,0
12:29:35,50.419403,-104.53168,0
12:30:05,50.419243,-104.531589,0
12:30:35,50.419176,-104.531532,0
12:31:05,50.41891,-104.531419,0
12:31:35,50.418641,-104.531339,0.9504
12:32:05,50.418412,-104.531309,0
12:32:35,50.418129,-104.531312,0
12:33:05,50.417897,-104.531293,0
12:33:35,50.417679,-104.531305,0
12:34:05,50.417411,-104.531309,0.9512
12:34:35,50.417136,-104.531312,0
12:35:05,50.417187,-104.531297,0
12:35:35,50.416996,-104.531315,0
12:36:05,50.416832,-104.531315,0
12:36:35,50.416684,-104.531322,0
12:37:05,50.416369,-104.531301,0
12:37:35,50.416192,-104.531282,0
12:38:05,50.416041,-104.531269,0
12:38:35,50.415873,-104.531231,0
12:39:05,50.415689,-104.531182,0
12:39:35,50.415598,-104.531156,0
12:40:05,50.41544,-104.531122,0
12:40:35,50.415311,-104.531065,0
12:41:05,50.415186,-104.531033,0
12:41:35,50.415051,-104.531001,0
12:42:05,50.414921,-104.531014,0
12:42:35,50.414896,-104.53121,0
12:43:05,50.414886,-104.531422,0.9517
12:43:35,50.414858,-104.53162,0
12:44:05,50.414845,-104.531827,0
12:44:35,50.414831,-104.532084,0
12:45:05,50.4147972,-104.5325515,0
12:45:35,50.414735,-104.5331515,0
12:46:05,50.4146945,-104.5338005,0
12:46:35,50.414619,-104.53441,0
12:47:05,50.414556,-104.535062,0
12:47:35,50.414498,-104.535798,0
12:48:05,50.41446,-104.536724,0
12:48:35,50.414552,-104.537528,0
12:49:05,50.414692,-104.538203,0
12:49:35,50.414914,-104.53881,0
12:50:05,50.415262,-104.539485,0
12:50:35,50.415596,-104.540054,0
12:51:05,50.415891,-104.540532,0
12:51:35,50.416214,-104.541071,0
12:52:05,50.416509,-104.54148,0
12:52:35,50.416766,-104.541769,0
12:53:05,50.417109,-104.542027,0
12:53:35,50.417418,-104.542087,0
12:54:05,50.417906,-104.541989,0
12:54:35,50.41824,-104.541822,0
12:55:05,50.418491,-104.541587,0
12:55:35,50.41877,-104.541318,0
12:56:05,50.419124,-104.540852,0
12:56:35,50.419461,-104.540444,0
12:57:05,50.419892,-104.540252,0
12:57:35,50.420164,-104.540316,0
12:58:05,50.420445,-104.540444,0
12:58:35,50.420745,-104.540597,0
12:59:05,50.420892,-104.540756,0
12:59:35,50.421193,-104.541133,0
13:00:05,50.421453,-104.541158,0
13:00:35,50.421721,-104.54082,0